Date,Open,High,Low,Close,Adj_Close,Volume,Day
2013-09-23,1.909583,1.914167,1.845833,1.8725,1.835118,67444800,0
2013-09-24,1.885417,1.902708,1.854167,1.872917,1.835527,41001600,1
2013-09-25,1.875625,1.884375,1.842292,1.855208,1.818172,54331200,2
2013-09-26,1.877083,1.909375,1.87375,1.897708,1.859823,44510400,3
2013-09-27,1.86625,1.899167,1.855625,1.88875,1.851044,36600000,4
2013-09-30,1.830833,1.889583,1.812292,1.876875,1.839406,61646400,5
2013-10-01,1.876042,1.935625,1.874167,1.933125,1.894533,43944000,6
2013-10-02,1.891875,1.938333,1.888125,1.929583,1.891062,43156800,7
2013-10-03,1.922708,1.934583,1.831875,1.8625,1.825318,80788800,8
2013-10-04,1.861458,1.918125,1.858333,1.910417,1.872278,46056000,9
2013-10-07,1.861875,1.907083,1.858542,1.863125,1.825931,49670400,10
2013-10-08,1.8625,1.867083,1.753542,1.757708,1.722618,117388800,11
2013-10-09,1.767292,1.769792,1.695625,1.738333,1.70363,109224000,12
2013-10-10,1.793958,1.860208,1.792917,1.84875,1.811842,72360000,13
2013-10-11,1.834792,1.895833,1.833958,1.890417,1.852678,65073600,14
2013-10-14,1.856875,1.93125,1.852083,1.929583,1.891062,70478400,15
2013-10-15,1.925833,1.955208,1.902083,1.908958,1.870848,81038400,16
2013-10-16,1.934583,1.977083,1.931458,1.974167,1.934756,64651200,17
2013-10-17,1.946042,2.009792,1.942708,2.006042,1.965994,83184000,18
2013-10-18,2.061875,2.1075,2.045625,2.105208,2.063181,67555200,19
2013-10-21,2.117292,2.134792,2.099167,2.117292,2.075023,49684800,20
2013-10-22,2.140625,2.162917,2.088542,2.124583,2.082169,78830400,21
2013-10-23,2.097083,2.108958,2.059167,2.090417,2.048685,80592000,22
2013-10-24,2.091875,2.13,2.08375,2.116458,2.074206,54273600,23
2013-10-25,2.177083,2.190625,2.131875,2.15875,2.115654,70233600,24
2013-10-28,2.161875,2.172708,2.134792,2.163125,2.119941,41625600,25
2013-10-29,2.183958,2.190417,2.145833,2.173542,2.130151,42052800,26
2013-10-30,2.197083,2.206667,2.137708,2.166667,2.123413,99331200,27
2013-10-31,2.152083,2.1925,2.129167,2.152708,2.109733,70891200,28
2013-11-01,2.171458,2.18125,2.1225,2.151667,2.108712,81566400,29
